,name,source,data,link
35,경유 37.9%·치킨 8.3%↑…10년 3개월만에 물가 4%대(종합2보),뉴시스,2022-04-02T07:00:00,https://news.google.com./articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIyMDQwMl8wMDAxODE4MDIw0gEA?hl=ko&gl=KR&ceid=KR%3Ako
36,전쟁·기후변화발 곡물대란 오는데…비축대책 손놓은 한국,매일경제,2022-04-07T08:55:39,https://news.google.com./articles/CAIiEIAymBH942wn9i6Sy_h7vLwqGQgEKhAIACoHCAow2t-aCDDArqABMNST5AU?uo=CAUiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDQvMzE0OTc4L9IBAA&hl=ko&gl=KR&ceid=KR%3Ako
37,당진지역 소비자 물가 분석휘발유 2000원대…1만 원 주고 갈 식당 없어,당진시대,2022-04-08T07:00:00,https://news.google.com./articles/CBMiOGh0dHA6Ly9tLmRqdGltZXMuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTkyMTYy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
38,"[주말쇼핑정보] 홈플러스‧롯데마트‧이마트, '물가 부담 낮추자'",뉴스투데이,2022-04-15T07:00:00,https://news.google.com./articles/CBMiMWh0dHBzOi8vd3d3Lm5ld3MyZGF5LmNvLmtyL2FydGljbGUvMjAyMjA0MTU1MDAwOTPSAQA?hl=ko&gl=KR&ceid=KR%3Ako
39,“이렇게 주문했는데 14만 원”…천정부지 치솟는 상하이 물가,동아일보,2022-04-15T07:00:00,https://news.google.com./articles/CBMiQWh0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL0ludGVyL2FydGljbGUvYWxsLzIwMjIwNDE1LzExMjkwMTM1OC8y0gE3aHR0cHM6Ly93d3cuZG9uZ2EuY29tL25ld3MvYW1wL2FsbC8yMDIyMDQxNS8xMTI5MDEzNTgvMg?hl=ko&gl=KR&ceid=KR%3Ako
40,식량자급률 내년부터 꺾인다,매일경제,2022-04-15T08:48:15,https://news.google.com./articles/CAIiEMOL8NWCTa7mGHZ8xsdFi_UqGQgEKhAIACoHCAow2t-aCDDArqABMNST5AU?uo=CAUiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDQvMzM5NDEzL9IBAA&hl=ko&gl=KR&ceid=KR%3Ako
41,이 시국에 한우가 50% 할인?…대형마트 이벤트 쏟아진다,매일경제,2022-04-27T07:00:00,https://news.google.com./articles/CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDQvMzc1OTYxL9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL2Vjb25vbXkvdmlldy1hbXAvMjAyMi8wNC8zNzU5NjEv?hl=ko&gl=KR&ceid=KR%3Ako
42,"이디야, ‘하와이안 스퀘어 피자’ ‘불닭 고구마 스퀘어 피자’ 출시",한국경제,2022-04-29T07:00:00,https://news.google.com./articles/CBMiM2h0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9uZXdzL2FydGljbGUvMjAyMjA0MjkxNjMxM9IBL2h0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9uZXdzL2FtcC8yMDIyMDQyOTE2MzEz?hl=ko&gl=KR&ceid=KR%3Ako
43,피 대신 흙 묻히는 삶 : 칼럼 : 사설.칼럼 : 뉴스,한겨레,2022-05-01T07:00:00,https://news.google.com./articles/CBMiNWh0dHBzOi8vbS5oYW5pLmNvLmtyL2FydGkvb3Bpbmlvbi9jb2x1bW4vMTA0MTA5NC5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
44,[식량 위기 대응 방안] 업계 비용 부담 완화-물가 안정화 정책 절실,식품음료신문,2022-05-02T07:00:00,https://news.google.com./articles/CBMiPWh0dHBzOi8vd3d3LnRoaW5rZm9vZC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89OTQ0MzDSAQA?hl=ko&gl=KR&ceid=KR%3Ako
