,ds,yhat
182,2022-06-21,47804.0294226406
183,2022-06-22,47762.62331333014
184,2022-06-23,47756.18965650889
185,2022-06-24,47727.34619954998
186,2022-06-27,47683.57591241961
187,2022-06-28,47660.10820045754
188,2022-06-29,47621.224469985886
189,2022-06-30,47617.31319200345
190,2022-07-01,47588.46973504457
191,2022-07-04,47544.69944791423
192,2022-07-05,47521.23173595216
193,2022-07-06,47482.43590853027
194,2022-07-07,47478.6125335976
195,2022-07-08,47449.85697968851
196,2022-07-11,47406.35040170751
197,2022-07-12,47382.97059279519
198,2022-07-13,47344.17476537333
199,2022-07-14,47340.35139044068
200,2022-07-15,47311.59583653157
201,2022-07-18,47268.08925855056
202,2022-07-19,47244.70944963831
203,2022-07-20,47205.91362221639
204,2022-07-21,47202.09024728375
205,2022-07-22,47173.33469337466
206,2022-07-25,47129.82811539361
207,2022-07-26,47106.44830648133
208,2022-07-27,47067.65247905946
209,2022-07-28,47063.82910412682
210,2022-07-29,47035.073550217705
211,2022-08-01,46991.56697223672
212,2022-08-02,46968.18716332444
213,2022-08-03,46929.39133590255
214,2022-08-04,46925.567960969885
215,2022-08-05,46896.81240706078
216,2022-08-08,46853.30582907972
217,2022-08-09,46829.92602016746
218,2022-08-10,46791.13019274558
219,2022-08-11,46787.30681781296
220,2022-08-12,46758.55126390383
221,2022-08-16,46691.66487701053
222,2022-08-17,46652.86904958866
223,2022-08-18,46649.04567465601
224,2022-08-19,46620.29012074692
225,2022-08-22,46576.78354276594
226,2022-08-23,46553.40373385364
227,2022-08-24,46514.60790643172
228,2022-08-25,46510.78453149907
229,2022-08-26,46482.02897758997
230,2022-08-29,46438.522399608984
231,2022-08-30,46415.142590696705
232,2022-08-31,46376.3467632748
233,2022-09-01,46372.52338834214
234,2022-09-02,46343.76783443302
235,2022-09-05,46300.26125645204
236,2022-09-06,46276.88144753973
237,2022-09-07,46238.08562011784
238,2022-09-08,46234.262245185186
239,2022-09-13,46138.620304382835
240,2022-09-14,46099.82447696093
241,2022-09-15,46096.001102028255
242,2022-09-16,46067.24554811916
243,2022-09-17,46056.50250194001
244,2022-09-18,46036.750960036414
245,2022-09-19,46023.7389701382
246,2022-09-20,46000.35916122585
247,2022-09-21,45961.56333380399
248,2022-09-22,45957.73995887133
249,2022-09-23,45928.984404962226
250,2022-09-24,45918.24135878303
251,2022-09-25,45898.489816879446
252,2022-09-26,45885.47782698121
253,2022-09-27,45862.098018068886
254,2022-09-28,45823.302190647046
255,2022-09-29,45819.4788157144
256,2022-09-30,45790.723261805295
257,2022-10-01,45779.98021562613
258,2022-10-02,45760.22867372258
259,2022-10-03,45747.21668382431
260,2022-10-04,45723.836874911955
261,2022-10-05,45685.041047490115
262,2022-10-06,45681.21767255746
263,2022-10-07,45652.46211864837
264,2022-10-08,45641.71907246922
265,2022-10-09,45621.96753056561
266,2022-10-10,45608.95554066736
267,2022-10-11,45585.57573175507
